Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,Wonderlic
2015,Justin Hardy,East Carolina,WR,5.4,70,0,192,0,4.56,11,36.5,114,6.63,4.21,0
2015,Eli Harold,Virginia,OLB,5.9,75,0,247,0,4.6,0,35,123,7.07,4.16,0
2015,Josh Harper,Fresno St.,WR,5.4,73,0,191,0,4.64,13,32,108,7.15,4.36,0
2015,Anthony Harris,Virginia,SS,5.6,73,0,183,0,4.56,0,0,0,0,0,0
2015,Jarvis Harrison,Texas A&M,OG,5.7,76,0,330,0,5.19,26,29.5,102,7.51,4.62,0
2015,Bobby Hart,Florida St.,OG,5.1,77,0,329,0,0,0,0,0,0,0,0
2015,Dee Hart,Colorado St.,RB,5,67,0,199,0,4.8,0,33,113,7.2,4.38,0
2015,Rob Havenstein,Wisconsin,OT,5.8,79,0,321,0,5.46,16,28.5,96,8.28,4.87,0
2015,Braylon Heard,Kentucky,RB,5.3,70,0,198,0,4.63,19,30.5,116,7.19,4.4,0
2015,Ben Heeney,Kansas,ILB,5.2,72,0,231,0,4.59,19,33.5,120,6.68,4,0
2015,Amarlo Herrera,Georgia,ILB,5.1,73,0,244,0,4.83,23,32,111,7.35,4.27,0
2015,Jeff Heuerman,Ohio St.,TE,5.4,77,0,254,0,0,26,0,0,0,0,0
2015,Sean Hickey,Syracuse,OT,5.2,77,0,309,0,0,35,0,0,0,0,0
2015,Jordan Hicks,Texas,OLB,5.4,73,0,236,0,4.68,20,38,124,6.78,4.15,0
2015,Troy Hill,Oregon,CB,5.4,70,0,182,0,4.55,0,32.5,120,6.81,4.21,0
2015,Kenny Hilliard,LSU,RB,4.8,72,0,226,0,4.83,0,27,111,7.17,4.4,0
2015,Zack Hodges,Harvard,OLB,5.2,74,0,250,0,4.68,0,33.5,125,0,4.65,0
2015,Gerod Holliman,Louisville,FS,5.5,72,0,218,0,0,17,0,0,0,0,0
2015,Mike Hull,Penn St.,OLB,5.2,72,0,237,0,4.68,31,0,0,6.99,4.15,0
2015,D.J. Humphries,Florida,OT,5.8,77,0,307,0,5.12,26,31,104,7.87,4.64,0
2015,Brett Hundley,UCLA,QB,5.5,75,0,226,0,4.63,0,36,120,6.93,3.98,0
2015,Danielle Hunter,LSU,DE,5.7,77,0,252,0,4.57,25,0,0,0,0,0
2015,Martin Ifedi,Memphis,DE,5,75,0,275,0,4.88,16,31,111,7.39,4.58,0
2015,Joey Iosefa,Hawaii,RB,4.8,72,0,247,0,5.02,30,31.5,110,7.24,4.33,0
2015,Tre' Jackson,Florida St.,OG,5.7,76,0,330,0,5.52,0,25,96,0,0,0
2015,Jesse James,Penn St.,TE,5.1,79,0,261,0,4.83,26,37.5,121,0,4.5,0
2015,Grady Jarrett,Clemson,NT,5.8,73,0,304,0,5.06,30,31,112,7.37,4.56,0
2015,Kyshoen Jarrett,Virginia Tech,SS,5.2,70,0,200,0,4.57,21,33,109,6.95,4.4,0
2015,Anthony Jefferson,UCLA,CB,4.9,73,0,198,0,4.72,15,33.5,116,7.18,4.15,0
2015,David Johnson,Northern Iowa,RB,5.3,73,0,224,0,4.5,25,41.5,127,6.82,4.27,0
2015,Duke Johnson,Miami,RB,5.9,69,0,207,0,4.54,0,33.5,121,0,0,0
2015,Gus Johnson,Stephen F. Austin,RB,4.9,70,0,215,0,4.7,26,36.5,120,7.09,4.13,0
2015,Kevin Johnson,Wake Forest,CB,5.9,72,0,188,0,4.52,0,41.5,130,6.79,3.89,0
2015,Will Johnson,Texas St.,P,0,74,0,206,0,0,0,0,0,0,0,0
2015,Byron Jones,Connecticut,CB,5.3,73,0,199,0,0,0,44.5,147,6.78,3.94,0
2015,Christion Jones,Alabama,WR,0,70,0,182,0,4.63,8,32.5,119,6.91,4.19,0
2015,Matt Jones,Florida,RB,5.3,74,0,231,0,4.61,20,31.5,112,0,4.2,0
2015,Taiwan Jones,Michigan St.,ILB,5.4,75,0,245,0,4.95,19,32,115,7.25,4.33,0
2015,Eric Kendricks,UCLA,ILB,5.8,72,0,232,0,4.61,19,38,124,0,0,0
2015,Hau'oli Kikaha,Washington,OLB,5.8,74,0,253,0,0,0,0,0,0,0,0
2015,Arie Kouandjio,Alabama,OG,5.3,77,0,310,0,0,0,0,0,0,0,0
2015,Ben Koyack,Notre Dame,TE,5.4,77,0,255,0,0,0,0,0,0,0,0
2015,Tyler Kroft,Rutgers,TE,5.4,77,0,246,0,0,17,0,0,0,0,0
2015,Josh Lambo,Texas A&M,K,0,72,0,216,0,0,0,0,0,0,0,0
2015,Jeremy Langford,Michigan St.,RB,5.3,72,0,208,0,4.42,0,34.5,118,7.22,4.32,0
2015,Dezmin Lewis,Central Arkansas,WR,5.3,76,0,214,0,4.58,16,33.5,119,7.11,4.28,0
2015,Tony Lippett,Michigan St.,WR,5.4,74,0,192,0,4.61,10,36,114,6.92,4.13,0
2015,Tyler Lockett,Kansas St.,WR,5.5,70,0,182,0,4.4,0,35.5,121,6.89,4.07,0
2015,Deon Long,Maryland,WR,5.1,72,0,192,0,4.51,12,34,120,6.98,4.27,0
2015,Kyle Loomis,Portland St.,P,5.3,74,0,221,0,0,0,0,0,0,0,0
2015,Derrick Lott,Tennessee-Chattanooga,DT,5.3,76,0,314,0,4.99,30,26.5,106,7.3,4.44,0
2015,Jerry Lovelocke,Prairie View A&M,QB,0,76,0,248,0,4.99,0,31.5,113,7.3,4.51,0
2015,Donatella Luckett,Harding,WR,5.2,72,0,211,0,4.65,17,34,118,7.51,4.5,0
2015,Terrence Magee,LSU,RB,5.2,68,0,213,0,0,22,37,115,7.52,4.37,0
2015,Craig Mager,Texas St.,CB,5.4,71,0,201,0,4.44,17,38,130,6.83,4.07,0
2015,Greg Mancz,Toledo,C,5.4,76,0,301,0,0,0,0,0,0,0,0
2015,Sean Mannion,Oregon St.,QB,5.3,78,0,229,0,5.14,0,31,105,7.29,4.39,0
2015,Justin Manton,Louisiana-Monroe,K,4.8,75,0,196,0,0,0,0,0,0,0,0
2015,Marcus Mariota,Oregon,QB,6.4,76,0,222,0,4.52,0,36,121,6.87,4.11,0
2015,Dean Marlowe,James Madison,FS,4.9,73,0,203,0,4.58,16,33.5,114,7,4.18,0
2015,Ali Marpet,Hobart & William Smith,C,5.4,76,0,307,0,4.98,30,30.5,108,7.33,4.47,0
2015,Nick Marshall,Auburn,QB,5.2,73,0,207,0,4.54,12,37.5,124,6.96,4.15,0
2015,Josue Matias,Florida St.,OG,5.5,77,0,309,0,5.52,0,17.5,84,8.19,5.12,0
2015,Lorenzo Mauldin,Louisville,OLB,5.7,76,0,259,0,4.85,23,32,112,7.47,4.58,0
2015,Vince Mayle,Washington St.,WR,5.6,74,0,224,0,4.67,0,35.5,117,6.93,4.13,0
2015,Joey Mbu,Houston,DT,5.2,75,0,313,0,5.54,0,22.5,97,8.2,5.01,0
2015,Tre McBride,William & Mary,WR,5.3,72,0,210,0,4.41,16,38,122,6.96,4.08,0
2015,Bobby McCain,Memphis,CB,5.3,69,0,195,0,4.51,17,36,130,6.8,3.82,0
2015,Ellis McCarthy,UCLA,DT,5,77,0,338,0,5.21,24,32,109,8.16,5.07,0
2015,Tevin McDonald,Eastern Washington,FS,5.2,71,0,195,0,4.63,19,33,112,7.01,4.26,0
2015,Benardrick McKinney,Mississippi St.,ILB,6,76,0,246,0,4.66,16,40.5,121,7.21,4.27,0
2015,Darrian Miller,Kentucky,OG,5.2,77,0,307,0,5.51,0,25,97,7.91,4.87,0
2015,John Miller,Louisville,OG,5.5,74,0,303,0,5.33,29,27,104,8.2,4.75,0
2015,Ty Montgomery,Stanford,WR,5.6,72,0,221,0,4.55,0,40.5,121,6.97,4.21,0
2015,Mitch Morse,Missouri,OG,5.2,77,0,305,0,5.14,36,31,112,7.6,4.5,0
2015,Keith Mumphery,Michigan St.,WR,4.8,72,0,215,0,4.54,0,32.5,121,7.07,4.25,0
2015,Marcus Murphy,Missouri,RB,5.3,68,0,193,0,4.61,11,29,109,0,4.4,0
2015,Robert Myers,Tennessee St.,OG,5.2,77,0,326,0,5.44,0,27.5,94,8.1,4.91,0
2015,J.J. Nelson,UAB,WR,4.9,70,0,156,0,4.28,0,36,127,7.02,4.15,0
2015,Steven Nelson,Oregon St.,CB,5.4,70,0,197,0,4.49,19,34.5,115,6.88,4.07,0
2015,Rakeem Nunez-Roches,Southern Miss,DT,5.1,74,0,307,0,5.02,26,34,114,7.67,4.69,0
2015,Mark Nzeocha,Wyoming,OLB,5.1,74,0,232,0,0,24,0,0,0,0,0
2015,Nick O'Leary,Florida St.,TE,5.4,75,0,252,0,4.93,21,30.5,110,0,4.5,0
2015,Owamagbe Odighizuwa,UCLA,DE,5.7,75,0,267,0,4.62,25,39,127,7.36,4.19,0
2015,Cedric Ogbuehi,Texas A&M,OT,5.9,77,0,306,0,0,23,0,0,0,0,0
2015,Nate Orchard,Utah,DE,5.8,75,0,250,0,4.8,0,31.5,115,7.28,4.43,0
2015,Leon Orr,Florida,DT,5.3,77,0,323,0,5.16,0,28,100,8.26,4.9,0
2015,Trevor Pardula,Kansas,P,0,76,0,227,0,0,0,0,0,0,0,0
2015,DeVante Parker,Louisville,WR,6.2,75,0,209,0,4.45,17,36.5,125,0,0,0
2015,David Parry,Stanford,NT,5.4,73,0,308,0,5.38,34,29,103,0,0,0
2015,Andrus Peat,Stanford,OT,6.2,79,0,313,0,5.18,0,31,105,8.01,4.62,0
2015,Breshad Perriman,Central Florida,WR,5.8,74,0,212,0,0,0,0,0,0,0,0
2015,Denzel Perryman,Miami,ILB,5.7,71,0,236,0,4.78,27,32,113,0,0,0
2015,Garry Peters,Clemson,CB,5.3,72,0,191,0,4.61,7,32.5,119,6.8,4,0
2015,Marcus Peters,Washington,CB,5.8,72,0,197,0,4.53,17,37.5,121,7.08,4.08,0
2015,Bryce Petty,Baylor,QB,5.3,75,0,230,0,4.87,0,34,121,6.91,4.13,0
2015,Jordan Phillips,Oklahoma,NT,6.2,77,0,329,0,5.17,28,30,105,7.88,4.68,0
2015,Darius Philon,Arkansas,DT,5.4,73,0,298,0,5,26,31,107,8,0,0
2015,Bradley Pinion,Clemson,P,5,77,0,229,0,0,0,0,0,0,0,0
2015,Terry Poole,San Diego St.,OG,5,77,0,307,0,5.09,25,31,113,7.9,4.66,0
2015,Jeremiah Poutasi,Utah,OG,5.4,77,0,335,0,5.32,26,26.5,95,8.09,4.89,0
2015,Cody Prewitt,Mississippi,FS,5.3,74,0,208,0,4.6,11,35,125,7.12,4.23,0
2015,MyCole Pruitt,Southern Illinois,TE,5,74,0,251,0,4.58,17,38,118,0,4.37,0
2015,Hayes Pullard,USC,ILB,5.4,72,0,240,0,4.78,19,31,110,7.07,4.39,0
2015,Damarious Randall,Arizona State,FS,5.4,71,0,196,0,4.46,14,38,120,6.83,4.07,0
2015,Thomas Rawls,Central Michigan,RB,5.5,69,0,215,0,4.65,15,35.5,116,0,0,0
2015,Shane Ray,Missouri,DE,6.8,75,0,245,0,0,21,0,0,0,0,0
2015,Cedric Reed,Texas,DE,5.2,77,0,269,0,0,22,0,0,0,0,0
2015,Jordan Richards,Stanford,SS,5.2,71,0,211,0,4.65,13,32,111,6.74,4.22,0
2015,Bobby Richardson,Indiana,DT,5.6,75,0,283,0,5.16,0,32.5,106,7.57,4.41,0
2015,Jared Roberts,Colorado St.,K,4.8,73,0,210,0,0,0,0,0,0,0,0
2015,Corey Robinson,South Carolina,OT,5.3,79,0,324,0,0,28,0,0,0,0,0
2015,Edmond Robinson,Newberry,OLB,4.8,75,0,245,0,4.61,20,37,121,7.49,4.38,0
2015,Josh Robinson,Mississippi St.,RB,5.2,68,0,217,0,4.7,21,32,113,0,0,0
2015,Quinten Rollins,Miami (OH),CB,5.8,71,0,195,0,4.57,14,36.5,122,7.1,4.28,0
2015,Spencer Roth,Baylor,P,5.1,76,0,227,0,0,0,0,0,0,0,0
2015,Eric Rowe,Utah,FS,5.4,73,0,205,0,4.45,19,39,125,6.7,3.97,0
2015,Ezell Ruffin,San Diego St.,WR,4.8,72,0,218,0,4.68,17,27.5,110,7.35,4.58,0
2015,Ryan Russell,Purdue,DE,5,76,0,269,0,4.75,25,32.5,119,7.25,4.47,0
2015,Jake Ryan,Michigan,OLB,5.3,74,0,240,0,4.65,20,34.5,120,7.11,4.2,0
2015,Ty Sambrailo,Colorado St.,OT,5.6,78,0,311,0,5.36,23,29,97,7.54,4.58,0
2015,James Sample,Louisville,SS,5.2,74,0,209,0,4.56,0,32.5,123,7.04,0,0
2015,Wes Saxton,South Alabama,TE,5.2,75,0,248,0,4.65,0,36,119,0,4.49,0
2015,Brandon Scherff,Iowa,OG,6.4,77,0,319,0,5.05,23,0,0,0,0,0
2015,Ross Scheuerman,Lafayette,RB,5,72,0,204,0,4.62,15,33,121,7.08,4.11,0
2015,Josh Shaw,USC,CB,5.4,72,0,201,0,4.44,26,37.5,130,7.01,4.12,0
2015,Adam Shead,Oklahoma,OG,5.1,76,0,338,0,5.74,26,0,0,0,0,0
2015,Danny Shelton,Washington,NT,6.4,74,0,339,0,5.64,34,30.5,95,7.99,4.65,0
2015,Austin Shepherd,Alabama,OT,5.3,76,0,315,0,5.39,17,29,94,8.04,4.7,0
2015,JaCorey Shepherd,Kansas,CB,5.4,71,0,199,0,0,14,0,0,0,0,0
